,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
232,GD421128,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
233,GD4211280,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
234,GD4211281,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
235,GD421129,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
236,GD421130,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
237,GD421131,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
238,GD421132,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
239,GD421133,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
240,GD421134,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
241,GD421135,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
242,GD421136,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
243,GD421141,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
244,GD421142,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
245,GD421143,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
246,GD421144,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
247,GD421145,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
248,GD421146,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
249,GD421147,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
250,GD421148,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
251,GD421149,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
252,GD421150,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
253,GD421151,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
254,GD421152,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
255,GD421153,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
256,GD421154,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
257,GD421155,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
258,GD421156,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
259,GD421157,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
260,GD421158,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
261,GD421159,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
262,GD421160,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
