;NOMOR_IDENTITAS;DAOP;DEPO;JENIS
492;GD421305;DAOP 1;JAKG;GERBONG
493;GD421306;DAOP 1;JAKG;GERBONG
494;GD421308;DAOP 1;JAKG;GERBONG
495;GD421309;DAOP 1;JAKG;GERBONG
496;GD421310;DAOP 8;SDT;GERBONG
497;GD421311;DAOP 1;JAKG;GERBONG
498;GD421312;DAOP 1;JAKG;GERBONG
499;GD421313;DAOP 1;JAKG;GERBONG
500;GD421314;DAOP 1;JAKG;GERBONG
501;GD421316;DAOP 1;JAKG;GERBONG
502;GD421317;DAOP 1;JAKG;GERBONG
503;GD4213179;DAOP 8;SDT;GERBONG
504;GD421318;DAOP 1;JAKG;GERBONG
505;GD4213181;DAOP 1;JAKG;GERBONG
506;GD4213183;DAOP 1;JAKG;GERBONG
507;GD4213186;DAOP 1;JAKG;GERBONG
508;GD421319;DAOP 1;JAKG;GERBONG
509;GD4213194;DAOP 1;JAKG;GERBONG
510;GD4213195;DAOP 1;JAKG;GERBONG
511;GD4213196;DAOP 1;JAKG;GERBONG
512;GD421320;DAOP 1;JAKG;GERBONG
513;GD421321;DAOP 1;JAKG;GERBONG
514;GD4213211;DAOP 1;JAKG;GERBONG
515;GD4213213;DAOP 1;JAKG;GERBONG
516;GD4213214;DAOP 1;JAKG;GERBONG
517;GD4213217;DAOP 1;JAKG;GERBONG
518;GD4213218;DAOP 1;JAKG;GERBONG
519;GD4213219;DAOP 8;SDT;GERBONG
520;GD421322;DAOP 1;JAKG;GERBONG
521;GD4213221;DAOP 1;JAKG;GERBONG
522;GD4213222;DAOP 1;JAKG;GERBONG
523;GD4213223;DAOP 1;JAKG;GERBONG
524;GD4213224;DAOP 1;JAKG;GERBONG
525;GD4213225;DAOP 8;SDT;GERBONG
526;GD421323;DAOP 1;JAKG;GERBONG
527;GD4213236;DAOP 1;JAKG;GERBONG
528;GD4213242;DAOP 1;JAKG;GERBONG
529;GD4213243;DAOP 1;JAKG;GERBONG
530;GD4213244;DAOP 1;JAKG;GERBONG
531;GD421325;DAOP 1;JAKG;GERBONG
532;GD4213255;DAOP 1;JAKG;GERBONG
533;GD4213256;DAOP 1;JAKG;GERBONG
534;GD4213257;DAOP 1;JAKG;GERBONG
535;GD4213259;DAOP 1;JAKG;GERBONG
536;GD421326;DAOP 1;JAKG;GERBONG
537;GD4213261;DAOP 1;JAKG;GERBONG
538;GD4213262;DAOP 1;JAKG;GERBONG
539;GD4213263;DAOP 1;JAKG;GERBONG
540;GD4213264;DAOP 1;JAKG;GERBONG
541;GD4213265;DAOP 8;SDT;GERBONG
542;GD421327;DAOP 1;JAKG;GERBONG
543;GD4213273;DAOP 1;JAKG;GERBONG
544;GD4213274;DAOP 1;JAKG;GERBONG
545;GD4213275;DAOP 1;JAKG;GERBONG
546;GD4213276;DAOP 1;JAKG;GERBONG
547;GD421328;DAOP 1;JAKG;GERBONG
548;GD4213280;DAOP 1;JAKG;GERBONG
549;GD421329;DAOP 1;JAKG;GERBONG
550;GD421330;DAOP 1;JAKG;GERBONG
551;GD421331;DAOP 1;JAKG;GERBONG
