,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,TAHUN_2,UMUR,RANGE_USIA
7730,K109906,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7731,K109907,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7732,K109908,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7733,K109909,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7734,K109910,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7735,K109911,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7736,K109912,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7737,K109913,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7738,K109914,DIVRE 3,KPT,KERETA,99,1999,22,21-30 th
7739,K109915,DAOP 6,SLO,KERETA,99,1999,22,21-30 th
7740,K109917,DIVRE 3,KPT,KERETA,99,1999,22,21-30 th
7741,K206604,DIVRE 3,KPT,KERETA,66,1966,55,>30 th
7742,K206612,DIVRE 3,KPT,KERETA,66,1966,55,>30 th
7743,K207802,DAOP 8,SBI,KERETA,78,1978,43,>30 th
7744,K207809,DAOP 8,ML,KERETA,78,1978,43,>30 th
7745,K207813,DAOP 8,SBI,KERETA,78,1978,43,>30 th
7746,K207820,DIVRE 3,KPT,KERETA,78,1978,43,>30 th
7747,K207824,DIVRE 3,KPT,KERETA,78,1978,43,>30 th
7748,K207825,DIVRE 3,KPT,KERETA,78,1978,43,>30 th
7749,K207830,DAOP 4,SMC,KERETA,78,1978,43,>30 th
7750,K207846,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7751,K207848,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7752,K207853,DIVRE 3,KPT,KERETA,78,1978,43,>30 th
7753,K207854,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7754,K207860,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7755,K207861,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7756,K207865,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7757,K207866,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7758,K207869,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
